trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,2,19.510566552501473,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-18.45876377478716,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",25,0,-69.96137483697937,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,-0.798342496736363,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,18,14.76008517683835,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,10,-49.98388091083356,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",20,7,-15.908349419065505,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",30,7,17.93791702767816,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,17,8.020630778092842,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,13,12.394593964006933,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,5,-34.96074387141505,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-87.90490056284308,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,10,-5.251834577627531,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 0}",1
